date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:16:35	242/242	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2013%20May%202019%2009:16:31%20GMT	http://hpc.ncpgr.cn:8093/robots.txt		(from )
17:16:35	0/0	---M-Z	302	error ('Found')	text/html	date:Mon,%2013%20May%202019%2009:16:32%20GMT	http://hpc.ncpgr.cn:8093/	C:/My%20Websites/http___hpc.ncpgr.cn_8093/hpc.ncpgr.cn_8093/index.html	(from )
17:16:36	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20May%202019%2009:16:32%20GMT	http://hpc.ncpgr.cn:8093/mediawiki/	C:/My%20Websites/http___hpc.ncpgr.cn_8093/hpc.ncpgr.cn_8093/mediawiki/index.html	(from http://hpc.ncpgr.cn:8093/)
17:16:36	23707/23707	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202019%2009:16:32%20GMT	http://hpc.ncpgr.cn:8093/mediawiki/index.php/%e9%a6%96%e9%a1%b5	C:/My%20Websites/http___hpc.ncpgr.cn_8093/hpc.ncpgr.cn_8093/mediawiki/index.php/%e9%a6%96%e9%a1%b5.html	(from http://hpc.ncpgr.cn:8093/mediawiki/)
17:16:36	289/289	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2013%20May%202019%2009:16:33%20GMT	http://hpc.ncpgr.cn:8093/favicon.ico	C:/My%20Websites/http___hpc.ncpgr.cn_8093/hpc.ncpgr.cn_8093/favicon.1.delayed	(from http://hpc.ncpgr.cn:8093/mediawiki/index.php/%e9%a6%96%e9%a1%b5)
17:16:37	879/879	---M--	200	added ('OK')	application/opensearchdescription+xml	date:Mon,%2013%20May%202019%2009:16:33%20GMT	http://hpc.ncpgr.cn:8093/mediawiki/opensearch_desc.php	C:/My%20Websites/http___hpc.ncpgr.cn_8093/hpc.ncpgr.cn_8093/mediawiki/opensearch_desc.php	(from http://hpc.ncpgr.cn:8093/mediawiki/index.php/%e9%a6%96%e9%a1%b5)
17:16:37	619/619	---M--	200	added ('OK')	application/rsd+xml	date:Mon,%2013%20May%202019%2009:16:33%20GMT	http://hpc.ncpgr.cn:8093/mediawiki/api.php?action=rsd	C:/My%20Websites/http___hpc.ncpgr.cn_8093/hpc.ncpgr.cn_8093/mediawiki/api251f.php	(from http://hpc.ncpgr.cn:8093/mediawiki/index.php/%e9%a6%96%e9%a1%b5)
17:16:37	0/0	---M-Z	302	error ('Found')	text/html	date:Mon,%2013%20May%202019%2009:16:34%20GMT	http://hpc.ncpgr.cn:8093/mediawiki/index.php?title=%E7%89%B9%E6%AE%8A:%E6%9C%80%E8%BF%91%E6%9B%B4%E6%94%B9&feed=atom	C:/My%20Websites/http___hpc.ncpgr.cn_8093/hpc.ncpgr.cn_8093/mediawiki/index.4f17c.delayed	(from http://hpc.ncpgr.cn:8093/mediawiki/index.php/%e9%a6%96%e9%a1%b5)
17:16:37	807/807	---M--	200	added ('OK')	application/xml	date:Mon,%2013%20May%202019%2009:16:34%20GMT	http://hpc.ncpgr.cn:8093/mediawiki/api.php?hidebots=1&days=7&limit=50&action=feedrecentchanges&feedformat=atom	C:/My%20Websites/http___hpc.ncpgr.cn_8093/hpc.ncpgr.cn_8093/mediawiki/apidf90.php	(from http://hpc.ncpgr.cn:8093/mediawiki/index.php/%e9%a6%96%e9%a1%b5)
17:16:40	75625/75625	---MC-	200	added ('OK')	text/css	date:Mon,%2013%20May%202019%2009:16:34%20GMT	http://hpc.ncpgr.cn:8093/mediawiki/load.php?debug=false&lang=zh-cn&modules=mediawiki.legacy.commonPrint%2Cshared%7Cmediawiki.skinning.interface%7Cmediawiki.ui.button%7Cskins.vector.styles&only=styles&skin=vector&*	C:/My%20Websites/http___hpc.ncpgr.cn_8093/hpc.ncpgr.cn_8093/mediawiki/load83b3.css	(from http://hpc.ncpgr.cn:8093/mediawiki/index.php/%e9%a6%96%e9%a1%b5)
